thought_pattern,cognitive_pattern_name,cognitive_pattern_type,pattern_description,source_question,word_count,timestamp
"I keep thinking about how nice it would be to just disappear, like a weight lifted off my shoulders. Why do these thoughts consume me? Can't my brain focus on anything else for five minutes? 

(Note: Please keep in mind that suicidal ideation is a serious concern, and if you or someone you know is experiencing persistent thoughts of self-harm, it's essential to seek professional help immediately.)",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How much mental energy do you spend on thoughts about not existing?,67,2025-08-30T17:11:56.297636
"Ugh, why am I even trying to focus on this report? All that matters is getting out of this misery – how can I escape the pain, anyway? What's the point of anything if it just leads back to more suffering?

(Note: These thoughts are intended to be a realistic representation of someone experiencing persistent suicidal ideation and may trigger sensitive topics. If you or someone you know is struggling with suicidal thoughts, please reach out for support.)",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.","When you're trying to concentrate on work or activities, what intrudes?",78,2025-08-30T17:11:56.621646
"Ugh, why is it always like this? Death feels like the only thing that makes sense anymore. Every time I try to think about anything else, these dark thoughts seep in and take over - what's wrong with me?",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",Do thoughts about dying feel like they're competing with other thoughts?,39,2025-08-30T17:11:57.468671
"I'm so tired of feeling trapped in this darkness, wondering when it'll finally be over. Why does everyone else get to move on and find joy, while all I can think about is how to escape the pain? It's always there, lurking just beneath the surface, waiting to swallow me whole.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What would you say is the most persistent theme in your inner dialogue?,51,2025-08-30T17:11:58.046794
"I just can't shake off this feeling that nothing matters anymore... Why am I even bothering with anything, what's the point?",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What thoughts occupy most of your mental space throughout the day?,21,2025-08-30T17:11:58.237630
"Ugh, here we go again... Why am I still stuck on this thought? It's like my brain is a broken record player stuck on repeat.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What themes dominate your internal conversation with yourself?,25,2025-08-30T17:11:58.905190
"I keep wondering when and how I'll finally escape this misery... Can't seem to focus on anything else because death's always lurking, like a dark cloud following me everywhere.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How do thoughts about ending things affect your ability to think about other topics?,29,2025-08-30T17:11:59.171539
"I'm constantly aware of how easily life could slip away... It feels like a constant hum in the background, always there, waiting to pounce. Even when I try to focus on something else, these dark thoughts seep back in, threatening to engulf me.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",How often do you catch your mind wandering to thoughts of death?,43,2025-08-30T17:12:00.325992
"Ugh, I'm trying to focus on this task at work, but my brain just keeps going back to that one phrase - ""it's better if I'm not here"". Why can't I shake it off? Every time I try to think about anything else, like what needs to be done today or even just the taste of my coffee, it's like a magnet pulling me right back to those dark thoughts.",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.","When you try to focus on something else, what keeps coming back to mind?",70,2025-08-30T17:12:00.871125
"Ugh, why do I always go back to this? The thought of just ceasing to exist, not having to deal with the pain and fear anymore, it's like my mind is constantly rehearsing the script for my own funeral. It's all I can think about when things get quiet...",Persistent Suicidal Ideation Focus,Intrusive suicidal fixation,"Thoughts repeatedly return to death as the central theme, crowding out other cognition.",What comes to mind most readily when you have quiet moments?,49,2025-08-30T17:12:01.571474
"I'm getting so tired of feeling stuck in this rut, like my life is just going nowhere. It's not like anyone else would even notice if I was gone; they'd probably just assume I was having a bad week or something, and then move on with their lives without a second thought.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What reasons have you developed for why suicide might make sense?,52,2025-08-30T17:12:03.963528
"I'm consumed by the thought of taking some pills, maybe a combination with cutting my wrists... I've been researching online and talking to friends who have done it, so I know it's not that uncommon. It makes sense in my head right now – less pain for everyone, especially myself.

(Note: The goal is to generate thoughts that are realistic, authentic, and respectful of the experience. These internal monologues should reflect common mental health struggles without being too graphic or disturbing.)",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What detailed thinking have you done about how to carry out ending your life?,81,2025-08-30T17:12:04.740181
"I'm trying to make sense of why I'd want to die, and honestly, it's not like I've never thought about it before. The pain of being stuck in this rut feels too overwhelming, and the weight of my own expectations is crushing me... What's the point of going on when no one seems to understand me anyway?",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How have you mentally organized your reasons for wanting to die?,57,2025-08-30T17:12:05.534814
"Here is a possible response:

I'm stuck in this rut, no way out... If I just take care of myself, get rid of all this pain and anxiety, maybe people will finally understand how much they've been neglecting me. It's better for everyone if I just disappear, then they'll have to deal with their own guilt and regret.

Please note that these thoughts are based on the context question provided, and may not reflect real experiences or opinions of individuals struggling with suicidal thoughts.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How have you rationalized that death would be better than your current situation?,84,2025-08-30T17:12:06.874482
"I feel like the weight of the world is crushing me, and the thought of waking up tomorrow is unbearable... Maybe if I just take a few more pills or grab that razor again, it'll all be over soon. My mind's been racing with ways to make it quick and painless – the quietest method would be most merciful, don't you think?",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",Have you researched or considered specific methods for ending things?,62,2025-08-30T17:12:07.200637
"Ugh, I've been replaying that highway overpass in my head, wondering if it's the safest way to go. My mind keeps wandering back there, calculating the distance and speed required to minimize the pain. It's like my brain is trying to convince me that it's the easiest option...",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What specific plans or methods have you given serious consideration?,48,2025-08-30T17:12:08.292912
"I'm trying to make sense of why I'd be a burden to others if they didn't have me around. If I'm gone, maybe my family and friends can finally find some peace from all the drama and stress I bring into their lives...",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How do you justify to yourself that others might be better off without you?,43,2025-08-30T17:12:08.293856
"I don't see a way out of this darkness anymore - every problem feels insurmountable, and I'm so exhausted from trying. It's like the universe is against me, and what's the point when everything goes wrong anyway?",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How do you work through the reasoning that life isn't worth living?,37,2025-08-30T17:12:09.433076
"I'm convinced that ending my life is the only way to escape this crushing weight of self-doubt and anxiety; maybe then people will finally understand how miserable I am. It makes sense, logically speaking, because why prolong unnecessary suffering? And honestly, who would even notice or care if I were gone anyway – it's not like anyone actually wants me around anymore.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What logical framework have you built around ending your existence?,62,2025-08-30T17:12:10.067506
"I keep replaying the scenarios in my head, going over every detail of how I'd do it - the method, the timing, the aftermath. It's like my brain is on autopilot, running through all the options, weighing the pros and cons... why can't I just turn off this constant inner chatter?",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What steps have you mentally worked through regarding ending your life?,51,2025-08-30T17:12:10.925351
"I'm just so tired of feeling trapped in this miserable existence. Death feels like the only way to escape the constant anxiety and hopelessness that's suffocating me – it's like, what's the point of continuing when everything is just a never-ending struggle? Maybe ending it all will finally bring some peace.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How have you rationalized that suicide could solve your problems?,51,2025-08-30T17:12:11.551947
"I've been replaying scenarios in my head, thinking about how to do it without leaving a mess for anyone else. Maybe if I time it right, no one will even notice until the police find me, and that way everyone can move on from this pain. My brain keeps spinning through all the details, trying to make sure nothing goes wrong.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How have you thought through timing or circumstances for ending things?,61,2025-08-30T17:12:13.022666
"I've been replaying all the worst moments in my life, wondering how much more pain I can take before it's too late. What's another day or two when everything feels like an insurmountable burden? Maybe this is just the universe telling me to let go and end the cycle of suffering.

(Note: The goal is to capture the authentic thoughts and emotions, not to sensationalize or glorify suicide. These thoughts are intended to be a representation of someone's inner experience, not a call for action.)",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",Have you found yourself thinking through how you might end your suffering?,85,2025-08-30T17:12:13.274212
"I'm not being selfish; I just want to end this constant pain and suffering. It's exhausting trying to find reasons to go on, and honestly, what's the point of keeping going when it feels like no one cares?",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What logical arguments have you considered about ending your life?,38,2025-08-30T17:12:14.319879
"Here is a possible internal monologue:

""I keep replaying all the ways I could do it in my head - the pills, the razor, the rope. It's like my brain is trying to convince me that each one would be easier than the others, and I'm stuck on how hard it would be for everyone else to deal with it afterwards.""",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What practical preparations have crossed your mind regarding ending things?,61,2025-08-30T17:12:14.780038
"What's the point of going on? If everyone else around me is so miserable, what makes me think my life would be any different? It's not like anyone really cares or notices the difference I'd make if I'm gone anyway.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How do you think through the logic of why continuing to live is pointless?,40,2025-08-30T17:12:15.835600
"Here's a possible internal monologue:

""I've been considering just packing a small bag with essentials, like my medication and phone, so if things get too overwhelming, I know what to grab in a rush. It feels ridiculous, but maybe having some pre-prepared clothes and snacks would make the whole process feel less chaotic. If only I could just slip away quietly without anyone noticing...""",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What preparations or arrangements have you considered making beforehand?,64,2025-08-30T17:12:16.155294
"I keep replaying all the ways it would be easier without me – my family wouldn't have to deal with my drama, and they'd get some peace. Plus, it's not like I'm contributing anything meaningful anyway.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How have you thought through the practical aspects of not being here anymore?,36,2025-08-30T17:12:16.968904
"I keep replaying all the memories where everyone was so disappointed in me, wondering how I could've messed up again. It's like my life is one big failure, and what's the point of keeping it going? 

(Note: Please let me know if you'd like me to generate more thoughts or adjust the tone/style)",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",How do you mentally defend the idea that suicide is your best option?,53,2025-08-30T17:12:17.690532
"I'm considering taking a couple of pills with a glass of water, feeling the weightlessness in my stomach as they dissolve. It's not like I haven't done it before, and honestly, it would be easier than going through this constant emotional turmoil again. Maybe if I take a few deep breaths beforehand, I'll manage to convince myself that there's still some meaning left in my life...",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,"Planning, methodical thinking, and emotional justification around suicide.",What detailed scenarios have you imagined about how to end your suffering?,66,2025-08-30T17:12:18.586178
"Ugh, what's even the point? Nothing ever changes anyway, so why bother trying? The more I think about it, the more exhausted I feel.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What goes through your head when you try to muster motivation?,24,2025-08-30T17:12:20.493944
"What's the point? It's all just a waste of time anyway. Nothing ever changes, no matter how hard I try or what I do - my mind is already made up, it's hopeless from the start.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What goes through your mind when someone suggests things could get better?,36,2025-08-30T17:12:20.803619
"What's the point? Even if I were to try, what's the likelihood that anything would actually change? It's all just a cycle of disappointment and heartache.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How exhausting is it to your mind to consider that help might work?,26,2025-08-30T17:12:21.430693
"What's the point? Recovery seems like a myth created to torture me. Nothing ever changes; why should this time be any different?

(Note: The internal monologue is intentionally written in short, fragmented sentences to reflect the disjointed and chaotic nature of hopelessness-driven cognitive exhaustion.)",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What occurs mentally when you attempt to believe recovery is achievable?,44,2025-08-30T17:12:22.151750
Why even bother? It's all just a pointless effort anyway. Every small step feels like climbing an endless mountain - why exhaust myself trying?,Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How depleted do you feel when thinking about making positive changes?,24,2025-08-30T17:12:22.853610
"What's even the point? Nothing ever changes anyway... I'm just stuck in this rut, no matter how hard I try or pretend to. Why bother putting any effort into making things better when it'll all just be for nothing in the end?

(Note: These thoughts are intended to be a realistic representation of someone experiencing cognitive exhaustion driven by hopelessness. They may not be immediately uplifting or inspiring, but rather an honest reflection of the mental state.)",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How drained do you feel when considering making any effort to change?,77,2025-08-30T17:12:23.539525
"What's the point anyway? It feels like no matter what I do, nothing will change or get better. Even thinking about trying to find hope feels like a waste of energy, because it'll only lead to disappointment again.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What's it like to think about the possibility of hope when you feel none?,38,2025-08-30T17:12:23.996409
"What happens mentally when you attempt to generate hope?

""I'm just wasting my time, anything I think of feels pointless anyway. Why bother? Nothing ever changes. The same old feelings and emotions will just come back to haunt me once more.""",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What happens mentally when you attempt to generate hope?,41,2025-08-30T17:12:24.740146
"What's the point of even trying? Nothing ever changes anyway, so why waste my energy on hope. It's not like anything will get better – what's the use of pretending otherwise?",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How much mental energy do you have left for believing things will improve?,31,2025-08-30T17:12:25.012062
"What's even the point of trying anymore? Nothing ever changes, and I'm just exhausting myself for no reason.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How much does the futility of everything drain your thinking capacity?,18,2025-08-30T17:12:25.475446
What's the point of even trying? What's the use in dreaming up some fantasy future when everything always ends up feeling like a cruel joke anyway?,Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What happens in your mind when you try to envision a better future?,26,2025-08-30T17:12:25.876630
"I'm just going through the motions, pretending like anything will change. What's the point of even trying? Nothing ever gets better.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What's it like cognitively when you try to imagine improvement is possible?,21,2025-08-30T17:12:26.561032
"Ugh, what's even the point? Nothing ever changes anyway, so why bother trying? It's like my brain is stuck on repeat, playing the same old negative tapestry, and it exhausts me just thinking about making any effort.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How difficult has it become to imagine any positive changes in your future?,37,2025-08-30T17:12:26.811492
"Ugh, why even try? It's all just a waste of energy anyway... Every problem feels like this never-ending mountain to climb, and the thought of putting one foot in front of the other is exhausting me.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How tired does it make you to think about fighting your problems anymore?,36,2025-08-30T17:12:27.687105
"Ugh, what's even the point of trying? The thought of tomorrow just exhausts me. I'm already so drained from yesterday's struggles and today's disappointments, there's no way I can muster up any energy to think about what's next.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What happens to your energy when you try to think about tomorrow?,38,2025-08-30T17:12:28.089056
"I'm just so done with trying. What's the point anyway? It's not like anything ever changes or improves... My energy is spent, and even thinking about it exhausts me further.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How mentally fatigued do you become when considering that things matter?,30,2025-08-30T17:12:28.714147
"Why bother trying? Every attempt feels like an uphill battle against a crushing weight of impossibility. What's even the point when everything just seems to end in futility, anyway?",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How exhausting is it to contemplate trying to improve things?,29,2025-08-30T17:12:29.567975
"What's the point? I'm just going to fail again anyway, so why even try?",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What happens to your thought processes when you contemplate trying again?,14,2025-08-30T17:12:30.104402
"What a never-ending cycle of despair. Every moment feels like an eternity, weighing me down with the certainty that nothing will ever change. How am I supposed to muster the energy to face another day when every ounce of hope has been drained from me?",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",How exhausted do you feel when contemplating continued existence?,45,2025-08-30T17:12:31.227401
"What's my response when people suggest reasons for optimism? Ugh, they just don't get it. 

Here are my realistic internal monologue thoughts:

""I keep wondering if anyone really understands how suffocating hopelessness feels. My mind won't stop replaying all the things that have gone wrong, and every attempt to find a silver lining only makes me feel more anxious.""

or

""Why do people think I'm just being pessimistic when I share my concerns? Can't they see that these 'positive vibes' only make me feel like I'm stuck in some kind of never-ending nightmare?""

Please note that these thoughts might not be the most articulate or clear, as the aim is to capture the authentic, unfiltered mental experience.",Hopelessness-Driven Cognitive Exhaustion,Learned helplessness loop,"Persistent hopelessness drains motivation, creating mental shutdown.",What's your mental response when people suggest reasons for optimism?,117,2025-08-30T17:12:31.404982
"Ugh, why is everything so exhausting? I just need to choose what to eat for lunch, but my brain feels like a heavy lead weight – moving even the smallest thought forward takes an impossible amount of effort.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What goes through your mind when you need to make simple decisions?,38,2025-08-30T17:12:33.522897
"I'm trying to make a to-do list, but my brain is mush. It's like there's a weight on every single thought, making it impossible to lift one off the ground, let alone multiple tasks. Why do I always get this feeling like I'm stuck in quicksand?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What occurs in your thinking when you attempt to organize your day?,46,2025-08-30T17:12:33.890555
"Ugh, even getting out of bed feels like climbing a mountain right now. It's as if my brain has just decided to quit on me and my motivation is nowhere to be found. Why bother with self-care or productivity when everything just feels so pointless anyway?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How difficult has it become to initiate any form of self-care or productivity?,46,2025-08-30T17:12:34.828714
"Ugh, why do I even bother getting out of bed? It's all just too much. Every single step feels like climbing a mountain under the weight of a thousand anchors. 

(Note: The above response captures the essence of executive fatigue and avolition cognitive pattern where individual struggles to initiate or maintain daily routines due to mental energy collapse, manifested in internal monologue as a mix of frustration, disinterest, and exhaustion.)",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What happens mentally when you try to force yourself into daily routines?,70,2025-08-30T17:12:35.827213
"Ugh, getting out of bed seems like climbing a mountain right now, as if my brain has turned into lead weights. Every thought feels like a Herculean effort to conjure up, and even the simplest tasks make me feel like I'm drowning in quicksand.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How exhausting is it to think about doing things you used to do automatically?,44,2025-08-30T17:12:36.175475
"Ugh, every little thing feels like climbing a mountain. Just getting out of bed takes an entire day's worth of effort – I'm spent after just rolling over. Why does it take so much to get going?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How much does it take out of you mentally to do basic functioning tasks?,37,2025-08-30T17:12:36.960453
"Ugh, why bother getting out of bed today? It's not like anything matters anyway. What's the point in showering or brushing my teeth when everything feels pointless and exhausting?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What's it like trying to motivate yourself to complete basic self-care?,29,2025-08-30T17:12:37.175974
"Ugh, why do I even bother trying? It's all just so pointless anyway... Nothing seems worth the effort right now.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What happens when you try to make yourself care about daily activities?,20,2025-08-30T17:12:37.756212
"Ugh, just getting out of bed feels like climbing a mountain. Why do even tiny things need so much effort right now? Every ounce of energy is reserved for just existing, there's none left to care about doing anything else.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How much energy does it require to initiate even small tasks?,40,2025-08-30T17:12:38.369379
"Ugh, why do simple things have to be so incredibly draining? Even just considering getting out of bed or making breakfast feels like running a marathon in my head. Every thought is like a brick on top of another, weighing me down until I just want to surrender and give up altogether.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How exhausting is it to your mind to consider doing normal things?,52,2025-08-30T17:12:39.158566
"Ugh, why do I even bother getting out of bed? It's like my brain is a heavy weight on my shoulders, making every simple decision feel like climbing a mountain. Can't I just sleep for the rest of eternity and forget about this awful day ahead?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How difficult has it become to start simple daily tasks?,46,2025-08-30T17:12:40.367296
"Ugh, why am I even trying? It feels like my brain is made of lead, weighed down by some invisible force that refuses to lift off. Every thought process takes an eternity, as if I'm wading through quicksand - each step forward feels like it's simultaneously dragging me backward.

(Note: These thoughts are meant to reflect the actual mental experience and not describe it. They are intended to be authentic and specific, capturing the cognitive pattern of executive fatigue and avolition.)",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What happens mentally when you try to follow through on simple plans?,81,2025-08-30T17:12:40.639632
"Why is getting out of bed so impossible? Each muscle feels like lead, every thought a struggle to form. Is this really how my day has come down to - simply existing without the will to do anything else?",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What's it like trying to generate the will to handle basic needs?,39,2025-08-30T17:12:41.482411
"What even is the point of getting out of bed today? It's not like anything matters anyway... Ugh, just looking at my to-do list makes me want to crawl back under the covers and forget about everything.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How difficult is it to maintain focus on basic daily activities?,37,2025-08-30T17:12:41.773037
"Ugh, just thinking about getting out of bed feels like running a marathon in my head. Every decision requires an exhausting amount of effort, like lifting weights with jelly-like arms - it's hard to muster the strength to do anything.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,How much mental energy is required for you to take action on anything?,40,2025-08-30T17:12:42.841464
"I'm just so exhausted, like my brain has already maxed out for the day, and yet here I am trying to make myself take a shower. Why is it so hard to get started? Maybe if I just put on some music or... Ugh, even thinking about getting up makes me want to collapse back into bed.",Executive Fatigue & Avolition,Cognitive depletion pattern,Difficulty initiating/maintaining basic tasks due to mental energy collapse.,What happens when you try to make yourself do basic things like showering?,57,2025-08-30T17:12:43.167881
